ancestors,groups,rating_image_url,website,email,photo_count,awards,rating,location_id,longitude,subcategory,web_url,latitude,ranking_data,see_all_photos,hours,category,num_reviews,write_review,trip_types,name,phone,description,review_rating_count,address_obj,neighborhood_info,timezone
"[{'level': 'City', 'name': 'Ariake', 'location_id': '14134362'}, {'level': 'Municipality', 'name': 'Koto', 'location_id': '1066449'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Fun & Games', 'localized_name': 'Fun & Games', 'categories': [{'name': 'Sports Complexes', 'localized_name': 'Sports Complexes'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-66827-5.svg,http://www.koto-hsc.or.jp/sports_center4/,,8,[],3.5,4766996,139.808,"[{'name': 'fun_games', 'localized_name': 'Fun & Games'}, {'name': 'activities', 'localized_name': 'Activities'}]",https://www.tripadvisor.com/Attraction_Review-g14134362-d4766996-Reviews-Koto_City_Ariake_Sports_Center-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,35.652416,"{'geo_location_id': '14134362', 'ranking_string': '#10 of 21 things to do in Ariake', 'geo_location_name': 'Ariake', 'ranking_out_of': '21', 'ranking': '10'}",https://www.tripadvisor.com/Attraction_Review-g14134362-d4766996-m66827-Reviews-Koto_City_Ariake_Sports_Center-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto.html#photos,,"{'name': 'attraction', 'localized_name': 'Attraction'}",23,https://www.tripadvisor.com/UserReview-g14134362-d4766996-Koto_City_Ariake_Sports_Center-Ariake_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '2'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '10'}, {'name': 'family', 'localized_name': 'Family', 'value': '5'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '4'}]",Koto City Ariake Sports Center,+81 3-3528-0191,,"{'1': '0', '2': '0', '3': '12', '4': '7', '5': '4'}","{'street1': '2-3-5', 'city': 'Ariake', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '135-0063', 'address_string': '2-3-5, Ariake, Koto 135-0063 Tokyo Prefecture'}",[],Asia/Tokyo
"[{'level': 'Municipality', 'name': 'Shinjuku', 'location_id': '1066457'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Spas & Wellness', 'localized_name': 'Spas & Wellness', 'categories': [{'name': 'Thermal Spas', 'localized_name': 'Thermal Spas'}, {'name': 'Onsen Resorts', 'localized_name': 'Onsen Resorts'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-66827-5.svg,,,1,[],3.5,8281134,139.73827,"[{'name': 'wellness_spas', 'localized_name': 'Spas & Wellness'}, {'name': 'activities', 'localized_name': 'Activities'}]",https://www.tripadvisor.com/Attraction_Review-g1066457-d8281134-Reviews-Daisan_Tamanoyu-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,35.702927,"{'geo_location_id': '1066457', 'ranking_string': '#14 of 115 Spas &amp; Wellness in Shinjuku', 'geo_location_name': 'Shinjuku', 'ranking_out_of': '115', 'ranking': '14'}",https://www.tripadvisor.com/Attraction_Review-g1066457-d8281134-m66827-Reviews-Daisan_Tamanoyu-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#photos,,"{'name': 'attraction', 'localized_name': 'Attraction'}",9,https://www.tripadvisor.com/UserReview-g1066457-d8281134-Daisan_Tamanoyu-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '1'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '5'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Daisan Tamanoyu,+81 3-3260-9326,,"{'1': '0', '2': '1', '3': '2', '4': '5', '5': '1'}","{'street1': '1-4 Shiroganecho', 'city': 'Shinjuku', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '162-0816', 'address_string': '1-4 Shiroganecho, Shinjuku 162-0816 Tokyo Prefecture'}","[{'location_id': '7278769', 'name': 'Yotsuya / Iidabashi'}]",Asia/Tokyo
"[{'level': 'Municipality', 'name': 'Ota', 'location_id': '1066454'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Traveler Resources', 'localized_name': 'Traveler Resources', 'categories': [{'name': 'Airport Lounges', 'localized_name': 'Airport Lounges'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,http://www.tokyo-airport-bldg.co.jp/airport_lounge/,,196,[],4.0,9466374,139.78738,"[{'name': 'traveler_resources', 'localized_name': 'Traveler Resources'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",https://www.tripadvisor.com/Attraction_Review-g1066454-d9466374-Reviews-Haneda_Tokyo_International_Airport_Terminal2_Power_Lounge_Central-Ota_Tokyo_Toky.html?m=66827,35.5522,"{'geo_location_id': '1066454', 'ranking_string': '#6 of 253 things to do in Ota', 'geo_location_name': 'Ota', 'ranking_out_of': '253', 'ranking': '6'}",https://www.tripadvisor.com/Attraction_Review-g1066454-d9466374-m66827-Reviews-Haneda_Tokyo_International_Airport_Terminal2_Power_Lounge_Central-Ota_Tokyo_Toky.html#photos,"{'periods': [{'open': {'day': 1, 'time': '0600'}, 'close': {'day': 1, 'time': '2130'}}, {'open': {'day': 2, 'time': '0600'}, 'close': {'day': 2, 'time': '2130'}}, {'open': {'day': 3, 'time': '0600'}, 'close': {'day': 3, 'time': '2130'}}, {'open': {'day': 4, 'time': '0600'}, 'close': {'day': 4, 'time': '2130'}}, {'open': {'day': 5, 'time': '0600'}, 'close': {'day': 5, 'time': '2130'}}, {'open': {'day': 6, 'time': '0600'}, 'close': {'day': 6, 'time': '2130'}}, {'open': {'day': 7, 'time': '0600'}, 'close': {'day': 7, 'time': '2130'}}], 'weekday_text': ['Monday: 06:00 - 21:30', 'Tuesday: 06:00 - 21:30', 'Wednesday: 06:00 - 21:30', 'Thursday: 06:00 - 21:30', 'Friday: 06:00 - 21:30', 'Saturday: 06:00 - 21:30', 'Sunday: 06:00 - 21:30']}","{'name': 'attraction', 'localized_name': 'Attraction'}",271,https://www.tripadvisor.com/UserReview-g1066454-d9466374-Haneda_Tokyo_International_Airport_Terminal2_Power_Lounge_Central-Ota_Tokyo_Tokyo_Prefecture_Ka.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '47'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '28'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '119'}, {'name': 'family', 'localized_name': 'Family', 'value': '25'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '11'}]",Haneda Tokyo International Airport Terminal2  Power Lounge Central,+81 3-6428-8250,,"{'1': '7', '2': '6', '3': '72', '4': '118', '5': '68'}","{'street1': '3-4-2 Hanedakuko', 'street2': 'Tokyo International Airport Terminal2 3F', 'city': 'Ota', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '144-0041', 'address_string': '3-4-2 Hanedakuko Tokyo International Airport Terminal2 3F, Ota 144-0041 Tokyo Prefecture'}","[{'location_id': '7278774', 'name': 'Haneda / Kamata'}]",Asia/Tokyo
"[{'level': 'Municipality', 'name': 'Ota', 'location_id': '1066454'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Fun & Games', 'localized_name': 'Fun & Games', 'categories': [{'name': 'Playgrounds', 'localized_name': 'Playgrounds'}]}, {'name': 'Nature & Parks', 'localized_name': 'Nature & Parks', 'categories': [{'name': 'Parks', 'localized_name': 'Parks'}, {'name': 'Playgrounds', 'localized_name': 'Playgrounds'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.0-66827-5.svg,http://seaside-park.jp/otherpark/#otherP06,,2,[],3.0,16882090,139.7728,"[{'name': 'fun_games', 'localized_name': 'Fun & Games'}, {'name': 'nature_parks', 'localized_name': 'Nature & Parks'}, {'name': 'attractions', 'localized_name': 'Attractions'}, {'name': 'activities', 'localized_name': 'Activities'}]",https://www.tripadvisor.com/Attraction_Review-g1066454-d16882090-Reviews-Jonanjima_Futo_Park-Ota_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,35.57908,"{'geo_location_id': '1066454', 'ranking_string': '#198 of 253 things to do in Ota', 'geo_location_name': 'Ota', 'ranking_out_of': '253', 'ranking': '198'}",https://www.tripadvisor.com/Attraction_Review-g1066454-d16882090-m66827-Reviews-Jonanjima_Futo_Park-Ota_Tokyo_Tokyo_Prefecture_Kanto.html#photos,,"{'name': 'attraction', 'localized_name': 'Attraction'}",2,https://www.tripadvisor.com/UserReview-g1066454-d16882090-Jonanjima_Futo_Park-Ota_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '2'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Jonanjima Futo Park,+81 3-3790-2378,,"{'1': '0', '2': '0', '3': '2', '4': '0', '5': '0'}","{'street1': '2 Jonanjima', 'city': 'Ota', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '143-0002', 'address_string': '2 Jonanjima, Ota 143-0002 Tokyo Prefecture'}","[{'location_id': '7278774', 'name': 'Haneda / Kamata'}]",Asia/Tokyo
"[{'level': 'City', 'name': 'Toyosu', 'location_id': '14134359'}, {'level': 'Municipality', 'name': 'Koto', 'location_id': '1066449'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Food & Drink', 'localized_name': 'Food & Drink', 'categories': [{'name': 'Cooking Classes', 'localized_name': 'Cooking Classes'}]}, {'name': 'Classes & Workshops', 'localized_name': 'Classes & Workshops', 'categories': [{'name': 'Cooking Classes', 'localized_name': 'Cooking Classes'}, {'name': 'Lessons & Workshops', 'localized_name': 'Lessons & Workshops'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/5.0-66827-5.svg,,cookinghometokyo@gmail.com,9,[],5.0,8746815,139.79613,"[{'name': 'food_drink', 'localized_name': 'Food & Drink'}, {'name': 'classes', 'localized_name': 'Classes & Workshops'}, {'name': 'activities', 'localized_name': 'Activities'}]",https://www.tripadvisor.com/Attraction_Review-g14134359-d8746815-Reviews-Cooking_Home_Tokyo-Toyosu_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,35.654545,"{'geo_location_id': '14134359', 'ranking_string': '#1 of 4 Food &amp; Drink in Toyosu', 'geo_location_name': 'Toyosu', 'ranking_out_of': '4', 'ranking': '1'}",https://www.tripadvisor.com/Attraction_Review-g14134359-d8746815-m66827-Reviews-Cooking_Home_Tokyo-Toyosu_Koto_Tokyo_Tokyo_Prefecture_Kanto.html#photos,,"{'name': 'attraction', 'localized_name': 'Attraction'}",5,https://www.tripadvisor.com/UserReview-g14134359-d8746815-Cooking_Home_Tokyo-Toyosu_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '2'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '1'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '2'}]",Cooking Home Tokyo,+81 70-6986-0169,,"{'1': '0', '2': '0', '3': '0', '4': '0', '5': '5'}","{'street1': '', 'city': 'Toyosu', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '135-0061', 'address_string': 'Toyosu, Koto 135-0061 Tokyo Prefecture'}",[],Asia/Tokyo
"[{'level': 'Municipality', 'name': 'Shinagawa', 'location_id': '1066854'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Historic Sites', 'localized_name': 'Historic Sites'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-66827-5.svg,,,22,[],3.5,11875233,139.74095,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",https://www.tripadvisor.com/Attraction_Review-g1066854-d11875233-Reviews-Hamakawa_Gun_Battery-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,35.59789,"{'geo_location_id': '1066854', 'ranking_string': '#49 of 226 things to do in Shinagawa', 'geo_location_name': 'Shinagawa', 'ranking_out_of': '226', 'ranking': '49'}",https://www.tripadvisor.com/Attraction_Review-g1066854-d11875233-m66827-Reviews-Hamakawa_Gun_Battery-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html#photos,,"{'name': 'attraction', 'localized_name': 'Attraction'}",14,https://www.tripadvisor.com/UserReview-g1066854-d11875233-Hamakawa_Gun_Battery-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '1'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '11'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Hamakawa Gun Battery,,,"{'1': '0', '2': '1', '3': '5', '4': '5', '5': '3'}","{'street1': '2-27-24 Higashioi', 'city': 'Shinagawa', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '140-0011', 'address_string': '2-27-24 Higashioi, Shinagawa 140-0011 Tokyo Prefecture'}","[{'location_id': '7278774', 'name': 'Haneda / Kamata'}]",Asia/Tokyo
"[{'level': 'City', 'name': 'Kameido', 'location_id': '14134355'}, {'level': 'Municipality', 'name': 'Koto', 'location_id': '1066449'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Bridges', 'localized_name': 'Bridges'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-66827-5.svg,,,3,[],3.5,15661865,139.83583,"[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",https://www.tripadvisor.com/Attraction_Review-g14134355-d15661865-Reviews-Kotoshin_Bridge-Kameido_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,35.702984,"{'geo_location_id': '14134355', 'ranking_string': '#17 of 24 things to do in Kameido', 'geo_location_name': 'Kameido', 'ranking_out_of': '24', 'ranking': '17'}",https://www.tripadvisor.com/Attraction_Review-g14134355-d15661865-m66827-Reviews-Kotoshin_Bridge-Kameido_Koto_Tokyo_Tokyo_Prefecture_Kanto.html#photos,,"{'name': 'attraction', 'localized_name': 'Attraction'}",4,https://www.tripadvisor.com/UserReview-g14134355-d15661865-Kotoshin_Bridge-Kameido_Koto_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '3'}, {'name': 'family', 'localized_name': 'Family', 'value': '1'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Kotoshin Bridge,,,"{'1': '0', '2': '0', '3': '3', '4': '1', '5': '0'}","{'street1': '8', 'city': 'Kameido', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '136-0071', 'address_string': '8, Kameido, Koto 136-0071 Tokyo Prefecture'}",[],Asia/Tokyo
"[{'level': 'City', 'name': 'Ichikawa', 'location_id': '1021146'}, {'level': 'State', 'name': 'Chiba Prefecture', 'location_id': '298157'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Shopping', 'localized_name': 'Shopping', 'categories': [{'name': 'Art Galleries', 'localized_name': 'Art Galleries'}]}, {'name': 'Museums', 'localized_name': 'Museums', 'categories': [{'name': 'Art Galleries', 'localized_name': 'Art Galleries'}]}]",,,,0,[],,13014705,139.93594,"[{'name': 'shopping', 'localized_name': 'Shopping'}, {'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",https://www.tripadvisor.com/Attraction_Review-g1021146-d13014705-Reviews-Gallery_Taka-Ichikawa_Chiba_Prefecture_Kanto.html?m=66827,35.70392,,https://www.tripadvisor.com/Attraction_Review-g1021146-d13014705-m66827-Reviews-Gallery_Taka-Ichikawa_Chiba_Prefecture_Kanto.html#photos,,"{'name': 'attraction', 'localized_name': 'Attraction'}",0,https://www.tripadvisor.com/UserReview-g1021146-d13014705-Gallery_Taka-Ichikawa_Chiba_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Gallery Taka,+81 47-378-8356,,,"{'street1': '4-9-16 Tajiri', 'city': 'Ichikawa', 'state': 'Chiba Prefecture', 'country': 'Japan', 'postalcode': '272-0014', 'address_string': '4-9-16 Tajiri, Ichikawa 272-0014 Chiba Prefecture'}",[],Asia/Tokyo
"[{'level': 'City', 'name': 'Azabujuban', 'location_id': '14129734'}, {'level': 'Municipality', 'name': 'Minato', 'location_id': '1066451'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Spas & Wellness', 'localized_name': 'Spas & Wellness', 'categories': [{'name': 'Spas', 'localized_name': 'Spas'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/5.0-66827-5.svg,http://www.loople.jp/,info@loople.jp,16,[],5.0,12279830,139.73695,"[{'name': 'wellness_spas', 'localized_name': 'Spas & Wellness'}, {'name': 'activities', 'localized_name': 'Activities'}]",https://www.tripadvisor.com/Attraction_Review-g14129734-d12279830-Reviews-Loople-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,35.65313,"{'geo_location_id': '14129734', 'ranking_string': '#1 of 20 Spas &amp; Wellness in Azabujuban', 'geo_location_name': 'Azabujuban', 'ranking_out_of': '20', 'ranking': '1'}",https://www.tripadvisor.com/Attraction_Review-g14129734-d12279830-m66827-Reviews-Loople-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto.html#photos,"{'periods': [{'open': {'day': 1, 'time': '1000'}, 'close': {'day': 1, 'time': '1900'}}, {'open': {'day': 2, 'time': '1000'}, 'close': {'day': 2, 'time': '1900'}}, {'open': {'day': 3, 'time': '1000'}, 'close': {'day': 3, 'time': '1900'}}, {'open': {'day': 4, 'time': '1000'}, 'close': {'day': 4, 'time': '1900'}}, {'open': {'day': 5, 'time': '1000'}, 'close': {'day': 5, 'time': '1900'}}, {'open': {'day': 6, 'time': '1000'}, 'close': {'day': 6, 'time': '1900'}}, {'open': {'day': 7, 'time': '1000'}, 'close': {'day': 7, 'time': '1900'}}], 'weekday_text': ['Monday: 10:00 - 19:00', 'Tuesday: 10:00 - 19:00', 'Wednesday: 10:00 - 19:00', 'Thursday: 10:00 - 19:00', 'Friday: 10:00 - 19:00', 'Saturday: 10:00 - 19:00', 'Sunday: 10:00 - 19:00']}","{'name': 'attraction', 'localized_name': 'Attraction'}",20,https://www.tripadvisor.com/UserReview-g14129734-d12279830-Loople-Azabujuban_Minato_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '1'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '16'}, {'name': 'family', 'localized_name': 'Family', 'value': '2'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Loople,+81 3-6435-0613,"The professional therapists at“Loople”are trained in massage and acupuncture,and can take care of stiff shoulders,back pain and tiredness of leg. We’re open every day from 10am to 7pm. Reservations first.","{'1': '0', '2': '0', '3': '0', '4': '1', '5': '19'}","{'street1': '4-6-8', 'street2': 'Nissin Bldg 5F', 'city': 'Azabujuban', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '106-0045', 'address_string': '4-6-8 Nissin Bldg 5F, Azabujuban, Minato 106-0045 Tokyo Prefecture'}","[{'location_id': '7278767', 'name': 'Odaiba / Shiodome / Shinbashi'}]",Asia/Tokyo
"[{'level': 'Municipality', 'name': 'Chuo', 'location_id': '1066444'}, {'level': 'Region', 'name': 'Tokyo', 'location_id': '298184'}, {'level': 'State', 'name': 'Tokyo Prefecture', 'location_id': '1023181'}, {'level': 'Region', 'name': 'Kanto', 'location_id': '298156'}, {'level': 'Country', 'name': 'Japan', 'location_id': '294232'}]","[{'name': 'Museums', 'localized_name': 'Museums', 'categories': [{'name': 'Specialty Museums', 'localized_name': 'Specialty Museums'}]}]",https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.0-66827-5.svg,http://www.suisan-shinkou.or.jp/museum/,,3,[],3.0,19093715,139.76982,"[{'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]",https://www.tripadvisor.com/Attraction_Review-g1066444-d19093715-Reviews-Toyomi_Osakana_Museum-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,35.653496,"{'geo_location_id': '1066444', 'ranking_string': '#339 of 611 things to do in Chuo', 'geo_location_name': 'Chuo', 'ranking_out_of': '611', 'ranking': '339'}",https://www.tripadvisor.com/Attraction_Review-g1066444-d19093715-m66827-Reviews-Toyomi_Osakana_Museum-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html#photos,,"{'name': 'attraction', 'localized_name': 'Attraction'}",1,https://www.tripadvisor.com/UserReview-g1066444-d19093715-Toyomi_Osakana_Museum-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html?m=66827,"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '1'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Toyomi Osakana Museum,+81 3-3533-8111,,"{'1': '0', '2': '0', '3': '1', '4': '0', '5': '0'}","{'street1': '5-1 Toyomicho', 'street2': 'Toyomi Center Bldg. 2F', 'city': 'Chuo', 'state': 'Tokyo Prefecture', 'country': 'Japan', 'postalcode': '104-0055', 'address_string': '5-1 Toyomicho Toyomi Center Bldg. 2F, Chuo 104-0055 Tokyo Prefecture'}","[{'location_id': '7278765', 'name': 'Ginza / Tokyo Nihonbashi'}]",Asia/Tokyo
